CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_SOC_Content_005cm,SG_Sand_Content_005cm,SG_Soil_pH_H2O_005cm,Site_ID,Maize
1168,153.450119,1135.878784,199.4172516,46.18328476,11,522,2831,3686,0.670235038,0.355046272,2265,11.36364365,-11.25,0.464683801,0,70.75324249,10669.27441,192.4943542,53.72093964,38.22372818,56.43355942,P15,0
1160,151.5010681,1086.180054,196.5175018,45.88496017,48,753,2904,2532,0.662649155,-0.725733399,2318,15.30956554,10.9375,0.317360371,0,155.6849823,15540.56445,154.9429626,57.80266953,37.68331146,54.73416519,P16,0
1104,122.5336914,1074.405396,174.5501251,41.09164047,18,713,436,2837,0.93199718,6.28E-07,3001,5.787041187,5.75,0,0,19.8417778,5205.415527,198.3167877,61.1459198,41.90032578,57.64675522,P17,0
1013.000061,110.5323181,1090.593994,152.5323181,35.98994446,67,407,534,3183,-0.146515563,0.916413307,3009.5,8.25160408,-1.1875,0,0,64.98790741,12125.64258,200,60.68367004,38.46442032,59.67432785,P18,0
1012,95.65010834,1792.013062,133.6501007,48.68334198,26,1152,5422,1753,0.920591533,0.249689296,3140,13.22462273,-5.8125,0,1.33704567,113.3107529,11389.7168,184.2307434,67.33821869,38.18956757,56.80245209,P19,0
1050,78.50086212,2692.53125,122.5175781,48.48997116,45,526,1306,3260,-0.894979477,0.446099281,3665,8.732801437,1.125,0,0,1.247288942,4143.433594,175.4522095,60.64876938,49.22766113,59.48170471,P1,0
1022,78.33455658,2500.887207,125.3512726,46.991642,0,1009,4637,3020,-0.684586167,-0.728702128,3708,17.0689621,3.625,0,0,14.08746624,3377.10376,175.103241,66.08997345,46.17743301,63.38584518,P2,0
1053.000122,97.51786804,1366.127563,154.517868,39.59832764,38,959,4748,2894,-0.661417484,0.608397007,3399.5,15.35016727,12.625,0,0,14.84924412,4100.039551,184.2828979,84.02559662,49.48722458,59.52349854,P3,0
1136.999878,143.4843445,1704.068481,192.4676361,14.99999905,39,611,3102,3618,0.699819684,-0.714181185,2258.5,16.63697052,1.3125,0.258684635,2.715058804,102.2152863,4460.679688,199.4841309,78.83426666,39.97151184,59.7943306,P4,0
1094.999878,105.5515594,1552.286987,157.5184021,16.19665718,63,603,3732,3517,-0.195214301,0.910641074,3045,18.82203293,-16.375,0,0,35.30328751,8139.702148,168.9174652,95.26794434,45.18964767,55.76481247,P5,0
853.999939,77.44954681,2099.427246,125.4331131,14.19997025,32,657,2300,2594,0.482466429,-0.875904739,3576,10.79820347,1.625,0,0.804813683,23.44551086,8576.016602,196.9856567,95.31784058,45.25428391,56.96266556,P6,0
1026.000122,95.18523407,1439.484375,148.1687927,43.89830017,32,667,3789,3194,-0.374639422,-0.912248015,3409.5,24.88043213,-19.5625,1.012260795,0,80.13368988,8740.386719,165.6069946,67.67631531,42.49825668,57.27789688,P7,0
1096.999878,98.6153183,1967.703491,156.598877,48.20498657,36,268,-377,4639,0.662164629,0.687932432,3386.5,8.941616058,2.0625,0,9.280777931,20.98951149,7026.833008,199.4933014,77.41223907,47.10187912,55.07648087,P8,0
1110,110.6325836,1821.461914,167.6325836,48.2016716,19,568,2036,3781,0.613913894,0.756923199,3171.5,11.12831116,2.1875,0,1.970036626,22.25564384,4104.73291,187.0415802,97.93617249,38.98277283,56.17137909,P9,0
